title,startTime,endTime,platform,name_organizer,url_organizer,descriptionSnippet,url,venue,price
"Nesko live in Austin, TX April 3rd",2026-04-03T19:00:00-05:00,2026-04-03T23:59:00-05:00,eventbrite,,https://www.eventbrite.com/o/37990493863,"Nesko live in Austin, TX April 3rd",https://www.eventbrite.com/e/nesko-live-in-austin-tx-april-3rd-tickets-1982352159673,"{'name': 'Brushy Street Commons', 'address': '501 Brushy Street, Austin, TX 78702', 'city': 'Austin', 'region': 'TX', 'country': 'US'}","{'isFree': False, 'min': 36.64, 'currency': 'USD', 'raw': 'USD 36.64'}"
"Big Texas live in Austin, TX April 3rd",2026-04-03T19:00:00-05:00,2026-04-03T23:59:00-05:00,eventbrite,,https://www.eventbrite.com/o/37990493863,"Big Texas live in Austin, TX April 3rd",https://www.eventbrite.com/e/big-texas-live-in-austin-tx-april-3rd-tickets-1983738010791,"{'name': 'Brushy Street Commons', 'address': '501 Brushy Street, Austin, TX 78702', 'city': 'Austin', 'region': 'TX', 'country': 'US'}","{'isFree': False, 'min': 36.64, 'currency': 'USD', 'raw': 'USD 36.64'}"
"Q.Royal live in Austin, TX April 3rd",2026-04-03T19:00:00-05:00,2026-04-03T23:59:00-05:00,eventbrite,,https://www.eventbrite.com/o/37990493863,"Q.Royal live in Austin, TX April 3rd",https://www.eventbrite.com/e/qroyal-live-in-austin-tx-april-3rd-tickets-1982351250955,"{'name': 'Brushy Street Commons', 'address': '501 Brushy Street, Austin, TX 78702', 'city': 'Austin', 'region': 'TX', 'country': 'US'}","{'isFree': False, 'min': 36.64, 'currency': 'USD', 'raw': 'USD 36.64'}"
TIGERS,2026-04-03T19:00:00-05:00,2026-04-03T20:00:00-05:00,eventbrite,Fallout Theater,https://www.eventbrite.com/o/fallout-theater-16738257328,An improv comedy show that is actually good.,https://www.eventbrite.com/e/tigers-tickets-1985217159966,"{'name': 'Fallout Theater', 'address': '616 Lavaca St, Austin, TX 78701', 'city': 'Austin', 'region': 'TX', 'country': 'US'}","{'isFree': False, 'min': 12.38, 'currency': 'USD', 'raw': 'USD 12.38'}"
Foodies & Fears : Dinner with Paranormies Austin,2026-04-03T19:00:00-05:00,2026-04-03T22:00:00-05:00,eventbrite,,https://www.eventbrite.com/o/113040083121,"Dinner with Strangers series for locals who love all things horror, supernatural, and paranormal. Share your story at the dinner table!",https://www.eventbrite.com/e/foodies-fears-dinner-with-paranormies-austin-tickets-1976486319788,"{'name': 'Restaurant of the Week', 'address': 'East 4th Street, Austin, TX 78701', 'city': 'Austin', 'region': 'TX', 'country': 'US'}","{'isFree': False, 'min': 17.85, 'currency': 'USD', 'raw': 'USD 17.85'}"
Under The Rock Presents: The Reverent Few,2026-04-03T20:00:00-05:00,2026-04-03T21:30:00-05:00,eventbrite,Saxon Pub,https://www.eventbrite.com/o/saxon-pub-17845361184,Join us for an Under The Rock showcase featuring The Reverent Few,https://www.eventbrite.com/e/under-the-rock-presents-the-reverent-few-tickets-1982047970836,"{'name': 'Saxon Pub 2025', 'address': '1320 S Lamar, Austin, TX 78704', 'city': 'Austin', 'region': 'TX', 'country': 'US'}","{'isFree': False, 'min': 19.43, 'max': 25.55, 'currency': 'USD', 'raw': 'USD 19.43 - 25.55'}"
Cocktales: an Interactive Comedy Show at the Speakeasy,2026-04-03T20:00:00-05:00,2026-04-03T23:00:00-05:00,eventbrite,Doc's Drive In Theatre,https://www.eventbrite.com/o/docs-drive-in-theatre-28579635783,"Get ready to mix laughs and drinks in a wild, interactive comedy night that’s anything but ordinary.",https://www.eventbrite.com/e/cocktales-an-interactive-comedy-show-at-the-speakeasy-tickets-1983892759649,"{'name': ""Mama Merlot's Speakeasy"", 'address': '1510, Satterwhite Rd, Buda, TX 78610', 'city': 'Buda', 'region': 'TX', 'country': 'US'}","{'isFree': False, 'min': 14.7, 'max': 81.7, 'currency': 'USD', 'raw': 'USD 14.7 - 81.7'}"
Drag Bingo Austin - Ultimate Drag Queen Bingo & Drag Show in Austin,2026-04-03T19:00:00-06:00,2026-04-03T20:30:00-06:00,eventbrite,Drag Bingo USA,https://www.eventbrite.com/o/drag-bingo-usa-60684316353,Drag Bingo Austin - The Ultimate Drag Queen Bingo & Drag Queen Show in Austin,https://www.eventbrite.com/e/drag-bingo-austin-ultimate-drag-queen-bingo-drag-show-in-austin-tickets-1317510883519,"{'name': 'Drag Bingo Austin', 'address': '222 E 6th Street, Austin, TX 78701', 'city': 'Austin', 'region': 'TX', 'country': 'US'}","{'isFree': False, 'min': 36.64, 'currency': 'USD', 'raw': 'USD 36.64'}"
Austin Online Speed Dating (24-32 age group),2026-04-03T20:00:00-05:00,2026-04-03T22:00:00-05:00,eventbrite,Austin Speed Dating and Singles Events,https://www.eventbrite.com/o/austin-speed-dating-and-singles-events-110488818411,Meet someone special and have fun connecting with new people!,https://www.eventbrite.com/e/austin-online-speed-dating-24-32-age-group-tickets-1977347484555,"{'name': 'Online Event', 'address': 'Austin Online Event, Austin, TX 78701', 'city': 'Austin', 'region': 'TX', 'country': 'US'}","{'isFree': False, 'max': 59.72, 'currency': 'USD', 'raw': 'USD 0 - 59.72'}"
Secret Level: Stand-Up Comedy Show,2026-04-03T20:00:00-05:00,2026-04-03T21:30:00-05:00,eventbrite,Secret Level Productions,https://www.eventbrite.com/o/secret-level-productions-45772952383,"We bring stand-up comedy to Austin’s favorite movie theater! Come laugh, then go upstairs, and catch a movie!",https://www.eventbrite.com/e/secret-level-stand-up-comedy-show-tickets-1985318547218,"{'name': 'Alamo Drafthouse Cinema Mueller', 'address': '1911 Aldrich Street, #Suite 120, Austin, TX 78723', 'city': 'Austin', 'region': 'TX', 'country': 'US'}","{'isFree': False, 'min': 10.66, 'max': 105.96, 'currency': 'USD', 'raw': 'USD 10.66 - 105.96'}"
